Date,View,View Time,Like,Favorite,Comment,Like & Favorite,Total Count,Followers,Page Visitors,Shares,Lost Followers,Weekdays,Post Name
22-05-01,326,867,10,4,2,14,16,3,15,0,0,Sunday,纽约｜曼哈顿｜中城航拍
22-05-02,"1,590","12,764",120,32,6,152,158,9,73,18,0,Monday,纽约｜航拍｜NYC Blue Hour 
22-05-03,"4,578","49,741",710,172,26,882,908,47,297,61,0,Tuesday,洛杉矶｜Downtown｜San Gabriel Mountains
22-05-04,"4,664","42,217",719,161,10,880,890,65,267,30,1,Wednesday,旧金山｜Downtown｜Bay Area Fog
22-05-05,"20,594","248,446","1,515",288,57,"1,803","1,860",192,738,137,0,Thursday,芝加哥｜Downtown｜Lake Michigan
22-05-06,"15,476","198,747","1,271",278,63,"1,549","1,612",156,596,82,1,Friday,迈阿密｜Downtown｜Vice City & 波士顿｜Downtown｜Charles River
22-05-07,"22,467","238,841","1,847",385,66,"2,232","2,298",314,"1,000",143,1,Saturday,西雅图｜Downtown｜Rain City & 纽约｜Downtown｜Freedom Tower
22-05-08,"21,873","204,766","1,711",308,61,"2,019","2,080",275,877,80,0,Sunday,多伦多｜Downtown｜CN Tower
22-05-09,"13,748","165,266","1,193",229,39,"1,422","1,461",176,635,101,2,Monday,温哥华｜Downtown ｜Stanley Park
22-05-10,"10,368","127,793",944,162,58,"1,106","1,164",133,479,67,1,Tuesday,墨尔本｜CBD｜Garden City
22-05-11,"8,627","105,258",705,125,29,830,859,100,359,45,1,Wednesday,布里斯班｜CBD｜Brisbane River
22-05-12,"9,331","111,985",796,167,25,963,988,130,408,41,1,Thursday,悉尼｜CBD｜Darling Harbour
22-05-13,"10,692","138,488",854,176,34,"1,030","1,064",141,477,51,0,Friday,新加坡｜CBD｜Marina Bay
22-05-14,"10,842","123,745","1,015",206,28,"1,221","1,249",145,501,50,1,Saturday,伦敦｜City Of London｜Canary Wharf
22-05-15,"11,171","119,292",996,182,30,"1,178","1,208",183,498,57,6,Sunday,莫斯科｜Moscow City
22-05-16,"8,382","94,106",654,114,46,768,814,108,367,33,1,Monday,纽约｜Manhattan ｜Hudson Yards
22-05-17,"7,849","92,617",625,145,29,770,799,107,331,39,1,Tuesday,香港｜Central｜Victoria Harbour
22-05-18,"7,535","79,779",574,127,15,701,716,76,297,35,3,Wednesday,迪拜｜Dubai Marina
22-05-19,"6,669","80,158",632,142,17,774,791,83,289,35,1,Thursday,无
22-05-20,"6,453","69,970",612,111,17,723,740,54,257,40,0,Friday,澳洲｜黄金海岸｜Gold Coast
22-05-21,"7,583","81,193",851,161,21,"1,012","1,033",79,296,66,3,Saturday,拉斯维加斯｜The Las Vegas Strip
22-05-22,"17,692","176,208","1,362",309,85,"1,671","1,756",167,654,88,3,Sunday,挑战一张封神｜洛杉矶天际线
22-05-23,"15,106","190,744","1,080",185,49,"1,265","1,314",110,510,70,2,Monday,无
22-05-24,"8,592","125,488",806,174,29,980,"1,009",95,397,44,4,Tuesday,挑战一张封神｜台北天际线
22-05-25,"12,700","132,969",971,162,48,"1,133","1,181",114,537,45,0,Wednesday,多伦多｜Downtown｜Lake Ontario
22-05-26,"9,780","119,041",847,148,47,995,"1,042",88,420,48,3,Thursday,东京｜涩谷区｜Shibuya Crossing
22-05-27,"9,432","120,864",902,188,31,"1,090","1,121",127,426,56,2,Friday,无
22-05-28,"10,804","117,424","1,192",258,27,"1,450","1,477",149,480,57,4,Saturday,纽约｜曼哈顿中城｜顶级内透
22-05-29,"11,015","125,135","1,166",196,27,"1,362","1,389",151,495,56,2,Sunday,迪拜｜Downtown Dubai
22-05-30,"9,740","109,608",864,156,27,"1,020","1,047",102,388,72,2,Monday,纽约｜曼哈顿｜Steinway Tower
22-05-31,"10,320","102,517",906,181,23,"1,087","1,110",86,396,36,2,Tuesday,芝加哥｜夜景｜Chicago River
22-06-01,"8,643","84,865",700,134,26,834,860,78,313,43,4,Wednesday,莫斯科｜Moscow City Skyline
22-06-02,"8,681","93,596",782,168,37,950,987,88,334,46,0,Thursday,吉隆坡｜Kuala Lumpur Skyline
22-06-03,"14,224","142,602","1,506",284,48,"1,790","1,838",153,553,75,1,Friday,纽约｜Manhattan｜Golden Hour
22-06-04,"11,538","109,132","1,388",244,27,"1,632","1,659",112,420,49,3,Saturday,洛杉矶｜LA Downtown Skyline
22-06-05,"11,566","105,994","1,400",265,38,"1,665","1,703",128,435,48,2,Sunday,纽约｜曼哈顿悬日｜Manhattanhenge
22-06-06,"11,482","108,685","2,266",443,38,"2,709","2,747",203,529,102,3,Monday,无
22-06-07,"9,145","80,512","1,726",296,45,"2,022","2,067",126,415,79,4,Tuesday,东京｜银座｜Ginza Night
22-06-08,"5,215","46,539",501,104,8,605,613,48,234,40,2,Wednesday,伦敦｜Tower Bridge｜River Thames
22-06-09,"5,147","44,319",511,118,10,629,639,51,246,49,2,Thursday,纽约｜Empire State Building
22-06-10,"6,717","59,549",657,123,31,780,811,82,269,48,3,Friday,迪拜｜Downtown Dubai Night
22-06-11,"13,967","143,030","1,177",226,29,"1,403","1,432",132,481,71,4,Saturday,纽约｜曼哈顿｜Central Park View
22-06-12,"12,961","135,251","1,057",213,24,"1,270","1,294",105,407,77,4,Sunday,纽约｜Little Island at Pier 55
22-06-13,"7,727","78,419",585,143,20,728,748,60,303,43,5,Monday,香港｜Central Night View
22-06-14,"6,958","65,127",673,155,22,828,850,68,288,37,3,Tuesday,洛杉矶｜City Of Angels｜Sunset
22-06-15,"7,304","70,926",944,170,27,"1,114","1,141",67,313,53,3,Wednesday,东京｜晴空塔｜Tokyo Skytree
22-06-16,"4,915","52,178",636,99,18,735,753,65,248,45,2,Thursday,无
22-06-17,"4,804","49,610",558,106,11,664,675,54,211,26,4,Friday,旧金山｜City By The Bay
22-06-18,"1,566","65,716","1,148",193,22,"1,341","1,363",89,272,61,3,Saturday,洛杉矶｜Griffith Observatory
22-06-19,"13,907","89,756","1,407",289,36,"1,696","1,732",130,498,103,5,Sunday,纽约｜曼哈顿｜Brooklyn Bridge
22-06-20,"7,310","66,685",999,225,33,"1,224","1,257",115,365,67,3,Monday,无
22-06-21,"22,722","66,450",911,202,16,"1,113","1,129",131,392,45,6,Tuesday,东京｜涩谷十字路口
22-06-22,"10,062","65,297",800,176,19,976,995,97,341,41,0,Wednesday,芝加哥｜Downtown｜Buckingham Fountain
22-06-23,"7,864","64,194",774,179,23,953,976,90,303,47,4,Thursday,洛杉矶｜City Of Angels Night
22-06-24,"8,815","51,548",639,146,12,785,797,73,260,29,4,Friday,无
22-06-25,"7,620","61,290",899,153,28,"1,052","1,080",92,292,31,3,Saturday,纽约｜Manhattan｜Billionaire’s Row
22-06-26,"8,185","69,162",824,175,23,999,"1,022",82,341,57,3,Sunday,香港｜Victoria Barbour Sunset
22-06-27,"6,261","51,849",590,127,13,717,730,72,239,34,7,Monday,无
22-06-28,"7,765","68,864",557,118,21,675,696,86,378,31,4,Tuesday,纽约｜Upper West ｜Midtown
22-06-29,"6,405","59,984",459,105,17,564,581,74,275,34,2,Wednesday,无
22-06-30,"5,366","47,660",532,98,19,630,649,55,240,79,5,Thursday,纽约｜Manhattan｜Tower Verre
22-07-01,"6,060","53,843",535,122,11,657,668,67,286,52,1,Friday,无
22-07-02,"9,893","68,838",705,127,34,832,866,76,333,55,0,Saturday,芝加哥｜Chicago Loop｜Millennium Park
22-07-03,"9,679","83,990",952,197,20,"1,149","1,169",112,411,40,7,Sunday,纽约｜布鲁克林｜DUMBO
22-07-04,"8,675","64,791",719,147,26,866,892,94,359,60,3,Monday,无
22-07-05,"9,316","70,430",792,179,12,971,983,86,406,49,6,Tuesday,无
22-07-06,"7,892","62,105",553,143,16,696,712,72,332,33,3,Wednesday,新加坡｜The Lion City & 纽约｜Hudson Yards
22-07-07,"9,650","70,999",666,182,18,848,866,69,376,51,2,Thursday,纽约｜美国独立日烟花 & 纽约｜曼哈顿｜帝国大厦
22-07-08,"7,571","56,996",512,132,10,644,654,73,298,0,9,Friday,无
